comment,replies,date,user_name
"Muy claro la explicación de los Fondos, talvez solo ahondar un poquito mas en que es mas práctico en terminos de inversión tener un PORTAFOLIO, ya que ahí sí que hay diversificación. Y algo que no dejaste claro es que nosotros como pequeños inversionistas debemos mirar siempre la rentabilidad en la sección PARTICIPACIÓN ""A"". Gracias y excelente video...👍🏼",[],2023-05-03T03:34:03Z,@soloshock
"Lo malo de los Fondos de Inversión es la comisión que cobran; nones alta pero a futuro merman el rendimiento. Además, invierten en ETF y acciones individuales, excepto los de renta fija. Es bastante mejor invertir directamente en ETF o en acciones internacionalea que cotizan en Colombia.",[],2023-05-02T21:03:25Z,@carlosalbertosierravargas6344
"Hola trate de invertir,  desde un país en medio Oriente pero no me acepta o no aplico la app",['Tyba  no funciona en todo el mundo'],2023-05-02T09:07:56Z,@nonogarzon8377
Cómo se resta la comisión que cobran? Podrías explicarlo?,[],2023-04-28T15:53:19Z,@linaparra6420
Les recomiendo renta fija Colombia,[],2023-04-26T18:22:35Z,@jonathansanchez9724
"Hola buenos dias, buenas tardes o buenas noches, dependiendo en que horario te encuentres, no los quisiera molestar, soy nuevo con las inversiones, y si alguna persona va a usar tyba dejo por aca mi código por si me quieren Ayudar, recibirán 10 mil COP es su primera inversion, gracias y perdón por molestarlos, mi codigo es ALE192509",[],2023-04-24T19:11:15Z,@brayanpardo5549
Hola! ¿En caso de que la persona titular fallezca qué sucede con este capital que está en Fondos de Inversión?,"['Estuve preguntando sobre ese tema y por el momento al existir ese vacío en los aplicativos, lo único concreto es dejar la clave de acceso a una persona de alta confianza y que pueda capitalizar la inversión y los rendimientos (dado el fallecimiento de la persona) claro está, de lo contrario es incierto el destino de ese dinero']",2023-04-24T13:32:14Z,@tvpro402
"Muy clara la información
Yo estoy en Tyba desde hace 9 meses y va muy bien","['Hola disculpa la discreción. Estoy por iniciar a invertir en Tyba, por favor me podrias orientar en que tipos de fondos puedo me puedes recomendar para invertir. Te agradezco de antemano. Bendiciones.']",2023-04-23T03:29:49Z,@aranda2186
Hablate de Trii..,['Ya hay varios videos de Trii en el canal'],2023-04-22T19:33:23Z,@jearias
Sabes cuando estará habilitada la opción de invertir en acciones?,"['No nos han contado nada aún', '@@ColectivoMillennial Gracias!']",2023-04-21T18:36:07Z,@IyEconomia
¿Debo Ser Mayor De Edad Para Tener Tyba?,['Si'],2023-04-21T11:30:19Z,@JLonely
Puedes hacer un video de cuál es el momento Ideal para retiras nuestra inversión,[],2023-04-20T17:46:07Z,@Aprendiendoandando
Que app es la más segura para invertir en bitcoin? Gracias,[],2023-04-20T17:01:10Z,@cesarsegura9807
"Hay que aclarar que la comisión se cobra sobre rendimientos o sobre todo el capital, por otro lado si ellos cobran comisión y el banco o donde inviten cobra comisión se estaría pagando doble? O la rentabilidad es mayor que si uno lo hiciera directamente con el banco? Gracias",[],2023-04-20T16:59:18Z,@cesarsegura9807
"Algo que no me gustó o no sé si es que no sé hacer es que cuando mi portafolio llega a su meta de beneficio y quiere retirar el dinero para invertirlo en otro portafolio, me toca enviarlo a mi banco. Deberían permitir que el dinero se quede en Tyba para poder seguir invirtiendo.","['Anteriormente se podía al tener 3 o más metas de inversión, pero con las últimas actualizaciones la quitaron.']",2023-04-20T16:24:10Z,@jhonmariolemosvelez6492
Hola Donde puedo leer mas sobre como funciona cualquiera de los fondos aun no me queda claro bien como funcionan!,[],2023-04-20T01:51:47Z,@camiloruiz6545
"Hola, yo acabé de invertir en un fondo, tuve el dinero dos meses y me fue excelente. Al retirarlo se demoraron 3 días (bastante rápido).","['Qué fondo era Julian? Si es posible, o era un portafolio?', 'Y cuál fue ese fondo ??', 'En que fondo invertiste?', 'Qué fondo era me interesa']",2023-04-19T21:22:02Z,@69utopias
"🎉🎉🎉 Espero que tú canal siga creciendo  y sigan dandonos la mejor información cómo si3mpre 

❤❤❤🎉🎉 
SOY Un Muy suscriptor feliz","['Gracias, gracias, gracias 💛💛💛']",2023-04-19T21:02:29Z,@charliemegadigital838
"Ayyy Gabriela de verdas que te amoooo Mk jejeje, gracias a ti hemos descubierto tantas maravillas de la inversión 😅😅😅❤❤❤",[],2023-04-19T21:01:34Z,@charliemegadigital838
"Yo me registre con tú código 3n Tyba Gabi 
Te adoramos, Gracias 🎉❤❤❤❤😅",[],2023-04-19T20:55:34Z,@charliemegadigital838
"En donde encuentro las fichas técnicas, ya que no están en la descripción como anunciaron.","['Dentro de la aplicación, escoges el portafolio o fondo y dice saber más, una vez dentro dice ver ficha y se descarga un archivo PDF']",2023-04-19T20:31:08Z,@Juglar1
Gaby  tengo un cdt con tyba y ya se venció y nunca pude encontrar como reinventir el valor junto a los intereses. La única opción q me dio fue el de generar un cdt y a mi cuenta me giraban las ganancias. Creo q seria bueno q permitieran hacer eso. Porque la idea es generar más ganancias con el interés compuesto. Deberías informar eso. Gracias,"['Holaaaaa! ¿Te puedo preguntar cómo te fue con el CDT?', 'Si lo puedes hacer, cuando creas el cdt la app te pregunta si al finalizar el plazo deseas renovarlo o cancelar y se puede renovar, lo que no se puede hacer por ahora es reinvertirlo en otro producto de la misma plataforma']",2023-04-19T18:05:09Z,@arielleonardoyanezguevara3350
"Sobre crear un portafolio propio, bastaría con dividir el dinero a invertir en varios fondos en las proporciones que uno desee. Buen video.",['gracias genio'],2023-04-19T04:14:06Z,@janer00000
"Lo más importante es saber cómo se retira uno de esa inversión. Que no sea vendiendo. Por ejemplo invertí en un fondo  inmobiliario de fiduoccidente que administran credicorp capital y tras de que no se ha nado un peso y por el contrario perdidas, ha sido un dolor de cabeza el retirarse porque deben haber interesados en comprar. Por lo cual estoy demasiado amarrado con una suma importante que está perdiendo su valor adquisitivo.","['Solo lo retiras desde la app, tarda una o dos semanas por mucho']",2023-04-19T03:46:12Z,@joseskatalitico
"Muchas gracias Gabi! Muy buen video. También sería interesante uno sobre Tyba Pocket! 😊

Por cierto, he visto algunos videos que hablan sobre una nueva plataforma de inversión en Colombia, llamada Bloom, que está vigilada por la superintendencia financiera de Colombia y todo. Parece que se puede invertir desde 50.000 y se ve interesante. ¿has escuchado algo al respecto? 🤔","['Si, está en la lista 💛']",2023-04-19T03:07:02Z,@DannaR07
"Hola, no me gusta de Tyba que si uno tiene una inversión y desea pasar la totalidad o parte de ese dinero a otra inversion tiene que retirar el dinero, pasarlo a la cuenta personal y luego volver a adicionar a Tyba. Mucho proceso y poco practico-","['Antes tenían una opción de transferir de fondo a fondo, ojalá la vuelvan a habilitar pronto']",2023-04-19T01:41:44Z,@richardrochels6763
"Muy buena la aplicación, me gusta mucho, tengo varias inversiones allí. Sería muy bueno que las inversiones se demoraran menos en reflejarse. Actualmente, tal como se menciona en el vídeo, demora 3 días haciéndolo a través de PSE. Otro punto es que cuando se hace un retiro, también toma 8 días hábiles para verse reflejado en nuestra cuenta. Por lo demás, muy bien.",[],2023-04-19T01:33:06Z,@jeancantrell519
"Hola, ni de cerquita soy Millennial pero me encanta este canal. Invierto en Tyba hace más de un año y me ha ido muy bien, cuando requerí el dinero por cuestión de urgencia fueron diligentes. Actualmente estoy invirtiendo en Renta Fija Colombia y mientras siga la volatilidad y las altas tasas de interés es muy buena opción, lo que sí deberían tener es una opción de cambio entre portafolios, pues una vez que un portafolio deja de ser atractivo, hay que retirar el dinero e invertirlo empezando de cero. Muchas gracias Gaby por tu trabajo.","['Hola. Podrías compartir cómo fue tu proceso para el retiro ?', 'Inicialmente si estaba esa opción teniendo 3 o más metas de inversión, pero con las últimas actualizaciones eliminaron la opción.']",2023-04-18T23:37:03Z,@fernandoarturoduarteprado6158
"Hola Gaby!
Gracias por la info, llevo un par de meses con Tyba y me ha ido bien. 

Te quería hacer una pregunta, suponiendo que el día de hoy tengo una rentabilidad de 10.000 pesos en algún fondo y hago el retiro del dinero, y hasta después de dos días se hace efectivo el retiro del dinero, debería recibir los 10.000 pesos de rentabilidad o recibiría la rentabilidad que tengo en el día que se hace efectivo el retiro?
Esto lo pregunto en particular por los fondos que tienen alta volatilidad y que un día pueden estar con ""ganancias"" y al siguiente en ""pérdidas"".",[],2023-04-18T22:07:24Z,@glennamaya6272
❤❤❤ gracias,[],2023-04-18T19:48:16Z,@legonferrocarilcoordinador9637
Muchas gracias Gaby por esta información.,[],2023-04-18T19:05:37Z,@alexandraramirez5419
Hola 👋 Gaby soy Diego Dussan 🎉❤ saludeme en El proximo video ya que soy fiel espectador y me gusta su contenido 😊 Chao !,['Holaaaaa❤️\u200d🔥'],2023-04-18T18:58:12Z,@ganaderiaycabanasdondiego
"Que buen video Gabi, tengo una inquietud... El último fondo del que hablaste de ""alta liquidez"" es el de Tyba Pocket? Gracias 😊","['Si, ese mismo 💛']",2023-04-18T18:48:57Z,@juancollantes2916
Pero en la app dice que el fondo de renta fija Colombia ha estado en negativo los últimos 6 meses,"['Los datos en la app muchas veces enloquecen, lo mejor es revisar la ficha técnica']",2023-04-18T18:22:13Z,@angierolondelahoz6751
Excelente video !!!,[],2023-04-18T17:54:39Z,@partywithoutcopyrights6306
Gracias Gaby por la información,[],2023-04-18T17:52:48Z,@davidhernandez-yc4bb
"Gaby hola, muy interesante el vídeo, pero te quiero preguntar si en Tyba se puede invertir específicamente en alguna acción como por ejemplo Ecopetrol, para tener solo acciones que uno quiera o tener de una sola compañía, gracias❤","['Nope', 'bro, para tu caso en especifico existe trii, aunque la comision si es alta y le toca a uno esperar los dias sin comision, yo no he comprado mi primera accion por eso,asi que mietras se da el momento ire reuniendo capital para poder comprar varias acciones cuando pueda', '@@ColectivoMillennial Hola Gaby sería bueno que averiguar de este tema ya que tienes contacto con Tyba para que nos informes.\nQue tengas un excelente día.', 'Para las acciones puedes usar Trii']",2023-04-18T17:49:28Z,@jorgea.diazrangel5839
"Tyba es una aplicación útil, personalmente no tengo mucho tiempo libre así que aplicaciones que me faciliten las cosas son excelentes. Como siempre, no se debe invertir en lo que no se conoce y las rentabilidades nunca se pueden asegurar, los portafolios son útiles pero crear tu propio portafolio sería lo mejor, es una buena opción para empezar, especialmente si uno no tiene experiencia.",['Que más amigo cómo estás? Me puedes explicar un poco por favor.'],2023-04-18T17:01:32Z,@michaelandresarizavaron8314
"A mí me ha ido muy muy bien en tyba Pocket, eso por detrás es pura renta fija. La verdad, mencanta. Gracias por tu info.","['Hola, cuanto tiempo llevas usándolo?', 'No puedo decir lo mismo, tengo un poco más de 1 millón y no ha alcanzado a darme ni 15.000 pesos', 'Hola, sabes cuanto te cobra de comisión?\nLo puedes retirar en cualquier momento?', '\u200b@@karendanielasalinas7187 La comisión es del 1,3%, dado que los recursos son invertidos en el FIC de alta liquidez. Sí, los puedes retirar en cualquier momento, pero se puede demorar hasta 8 días hábiles en qué se ve reflejado en tu cuenta de ahorros relacionada.', '@@JuanSBorja Ese 1,3% es con base al rendimiento obtenido o el capital total invertido?']",2023-04-18T16:42:46Z,@pablostevenruizbello1169
